  Time                 , I(U1:DRAININ)        
  7.900000000016e-06  ,2.559149547971e+00  
  7.900000100014e-06  ,2.487574424301e+00  
  7.900000300012e-06  ,2.351628206528e+00  
  7.900000700008e-06  ,2.109809480051e+00  
  7.900001000016e-06  ,1.953130468602e+00  
  7.900001080015e-06  ,1.972860184756e+00  
  7.900001240018e-06  ,2.010552929694e+00  
  7.900001560024e-06  ,2.076247631169e+00  
  7.900002200035e-06  ,2.176578006445e+00  
  7.900003480058e-06  ,2.295611415542e+00  
  7.900006040104e-06  ,2.382912931033e+00  
  7.900011160195e-06  ,2.408249502527e+00  
  7.900021160271e-06  ,2.422369038707e+00  
  7.900031160347e-06  ,2.442615399718e+00  
  7.900041160423e-06  ,2.459998648045e+00  
  7.900051160500e-06  ,2.479112939417e+00  
  7.900061160576e-06  ,2.497926854198e+00  
  7.900071160652e-06  ,2.517820963182e+00  
  7.900081160728e-06  ,2.538702651000e+00  
  7.900091160804e-06  ,2.561533985857e+00  
  7.900101160880e-06  ,2.587248735801e+00  
  7.900111160956e-06  ,2.617525693077e+00  
  7.900121161033e-06  ,2.654735222131e+00  
  7.900131161109e-06  ,2.702398858971e+00  
  7.900141161185e-06  ,2.765495815481e+00  
  7.900151161261e-06  ,2.850904168874e+00  
  7.900161161337e-06  ,2.967724561257e+00  
  7.900171161413e-06  ,3.127394889780e+00  
  7.900181161490e-06  ,3.343297199766e+00  
  7.900191161566e-06  ,3.629584452831e+00  
  7.900201161642e-06  ,3.999064379846e+00  
  7.900211161718e-06  ,4.460389852133e+00  
  7.900221161794e-06  ,5.015347236416e+00  
  7.900231161870e-06  ,5.657345175072e+00  
  7.900241161946e-06  ,6.371863726195e+00  
  7.900251162023e-06  ,7.138723095007e+00  
  7.900261162099e-06  ,7.935213602204e+00  
  7.900271162175e-06  ,8.738963545673e+00  
  7.900281162251e-06  ,9.529856043983e+00  
  7.900291162327e-06  ,1.029087621169e+01  
  7.900301162403e-06  ,1.100812240228e+01  
  7.900311162479e-06  ,1.167029747022e+01  
  7.900321162556e-06  ,1.226791593120e+01  
  7.900331162632e-06  ,1.279232173095e+01  
  7.900341162708e-06  ,1.323444117425e+01  
  7.900351162784e-06  ,1.358297611581e+01  
  7.900361162860e-06  ,1.382151918390e+01  
  7.900371162936e-06  ,1.392448454309e+01  
  7.900381163012e-06  ,1.385534782916e+01  
  7.900391163089e-06  ,1.357840323426e+01  
  7.900401163165e-06  ,1.309906746266e+01  
  7.900411163241e-06  ,1.246653324808e+01  
  7.900421163317e-06  ,1.175664898212e+01  
  7.900431163393e-06  ,1.102192733099e+01  
  7.900441163469e-06  ,1.029339097524e+01  
  7.900451163545e-06  ,9.591042210776e+00  
  7.900461163622e-06  ,8.930433704691e+00  
  7.900471163698e-06  ,8.331838820686e+00  
  7.900481163774e-06  ,7.808585332102e+00  
  7.900491163850e-06  ,7.371614719947e+00  
  7.900501163926e-06  ,7.022918043118e+00  
  7.900511164002e-06  ,6.757656198148e+00  
  7.900521164078e-06  ,6.565078523080e+00  
  7.900531164155e-06  ,6.431858809979e+00  
  7.900541164231e-06  ,6.344387316102e+00  
  7.900551164307e-06  ,6.290589286798e+00  
  7.900561164383e-06  ,6.260640105266e+00  
  7.900571164459e-06  ,6.247099094068e+00  
  7.900581164535e-06  ,6.244612508530e+00  
  7.900591164611e-06  ,6.249491598343e+00  
  7.900601164688e-06  ,6.259273858909e+00  
  7.900611164764e-06  ,6.272355380503e+00  
  7.900621164840e-06  ,6.287706026296e+00  
  7.900631164916e-06  ,6.304667223599e+00  
  7.900641164992e-06  ,6.322814511735e+00  
  7.900651165068e-06  ,6.341868773531e+00  
  7.900661165145e-06  ,6.361640468479e+00  
  7.900671165221e-06  ,6.381995662767e+00  
  7.900681165297e-06  ,6.402835585500e+00  
  7.900691165373e-06  ,6.424084442867e+00  
  7.900701165449e-06  ,6.445682081650e+00  
  7.900711165525e-06  ,6.467579492700e+00  
  7.900721165601e-06  ,6.489735952910e+00  
  7.900731165678e-06  ,6.512117130898e+00  
  7.900741165754e-06  ,6.534693768212e+00  
  7.900751165830e-06  ,6.557440720120e+00  
  7.900761165906e-06  ,6.580336230365e+00  
  7.900771165982e-06  ,6.603361366727e+00  
  7.900781166058e-06  ,6.626499571809e+00  
  7.900791166134e-06  ,6.649736299826e+00  
  7.900801166211e-06  ,6.673058719327e+00  
  7.900811166287e-06  ,6.696455467629e+00  
  7.900821166363e-06  ,6.719916446430e+00  
  7.900831166439e-06  ,6.743432650599e+00  
  7.900841166515e-06  ,6.766996023944e+00  
  7.900851166591e-06  ,6.790599337106e+00  
  7.900861166667e-06  ,6.814236083693e+00  
  7.900871166744e-06  ,6.837900391555e+00  
  7.900881166820e-06  ,6.861586946684e+00  
  7.900891166896e-06  ,6.885290927699e+00  
  7.900901166972e-06  ,6.909007949249e+00  
  7.900911167048e-06  ,6.932734012942e+00  
  7.900921167124e-06  ,6.956465464678e+00  
  7.900931167200e-06  ,6.980198957432e+00  
  7.900941167277e-06  ,7.003931418692e+00  
  7.900951167353e-06  ,7.027660021904e+00  
  7.900961167429e-06  ,7.051382161355e+00  
  7.900971167505e-06  ,7.075095430027e+00  
  7.900981167581e-06  ,7.098797600025e+00  
  7.900991167657e-06  ,7.122486605243e+00  
  7.901001167733e-06  ,7.146160525972e+00  
  7.901011167810e-06  ,7.169817575202e+00  
