time	Ix(U1:drainin)
0.000000000000000e+000	2.134764e+000
2.999999998176987e-013	1.925160e+000
6.999999995746303e-013	1.677718e+000
9.999999993923290e-013	1.533411e+000
1.079999999682529e-012	1.527415e+000
1.559999999729660e-012	1.620400e+000
2.199999998663124e-012	1.707235e+000
3.479999998224118e-012	1.808965e+000
6.039999997346107e-012	1.892055e+000
1.115999999389602e-011	1.934356e+000
2.374748011228267e-011	1.957176e+000
3.633496023066932e-011	1.980654e+000
4.892244034905597e-011	2.004792e+000
6.150992046744263e-011	2.029589e+000
7.409740058582929e-011	2.055046e+000
8.668488070421593e-011	2.081161e+000
9.927236082260256e-011	2.107936e+000
1.173405449445919e-010	2.161016e+000
1.399440773072763e-010	2.276744e+000
1.717232557544359e-010	2.644179e+000
2.064961974826293e-010	3.601147e+000
2.497573768792474e-010	5.715555e+000
2.898904157307413e-010	7.947874e+000
3.441545341047734e-010	1.000586e+001
3.666605768597219e-010	9.958675e+000
3.873582702087152e-010	9.212743e+000
4.160694576618349e-010	7.917033e+000
4.484322152162063e-010	6.528320e+000
4.643493930736782e-010	6.001786e+000
4.791086827740502e-010	5.686464e+000
4.972900645993392e-010	5.452794e+000
5.171382583598206e-010	5.324368e+000
5.370988679427347e-010	5.282861e+000
5.601944592289332e-010	5.288150e+000
5.883192740415463e-010	5.325613e+000
6.264915302672976e-010	5.396178e+000
6.760361599339525e-010	5.500639e+000
7.439425116911191e-010	5.653476e+000
8.248151577225902e-010	5.841470e+000
9.274671994848011e-010	6.082822e+000
1.050451434376939e-009	6.371003e+000
1.210377805205547e-009	6.740074e+000
1.404040837039590e-009	7.173788e+000
1.693744317072900e-009	7.789693e+000
2.093744317072083e-009	8.576010e+000
2.493744317071266e-009	9.279068e+000
2.893744317070449e-009	9.883787e+000
3.293744317069632e-009	1.038186e+001
3.693744317068815e-009	1.076657e+001
4.093744317067998e-009	1.103296e+001
4.493744317067181e-009	1.120040e+001
4.601000000001009e-009	1.122279e+001
4.786488634132537e-009	1.122902e+001
5.001000000000192e-009	1.121542e+001
5.001100000000131e-009	1.128729e+001
5.001300000000009e-009	1.142459e+001
5.001699999999766e-009	1.168248e+001
5.001999999999584e-009	1.186602e+001
5.002240000000454e-009	1.181862e+001
5.002559999999921e-009	1.177302e+001
5.003199999998855e-009	1.169924e+001
5.004333359906311e-009	1.159841e+001
5.006600079719530e-009	1.146399e+001
5.011133519347661e-009	1.131904e+001
5.019321551803902e-009	1.121184e+001
5.028081676977173e-009	1.117860e+001
5.040751420566333e-009	1.116968e+001
5.059774101927016e-009	1.116258e+001
5.097819464648383e-009	1.114744e+001
5.173910190089422e-009	1.111104e+001
5.295337210409020e-009	1.102929e+001
5.407805839516614e-009	1.090972e+001
5.503737922801414e-009	1.073422e+001
5.583305484188066e-009	1.047437e+001
5.654779241356293e-009	1.006739e+001
5.725760893869698e-009	9.403498e+000
5.799670883709348e-009	8.444006e+000
5.876124015739162e-009	7.455394e+000
5.963347082539708e-009	6.687461e+000
6.058493450278402e-009	6.248682e+000
6.159422647603716e-009	6.007236e+000
6.250591856618256e-009	5.869404e+000
6.344622727517154e-009	5.758950e+000
6.431290545777480e-009	5.665749e+000
6.521544550156446e-009	5.569438e+000
6.617881806427066e-009	5.464194e+000
6.718287994334759e-009	5.348168e+000
6.823846584640754e-009	5.217234e+000
6.934676532429550e-009	5.069547e+000
7.059318913279738e-009	4.885211e+000
7.204463677844364e-009	4.631461e+000
7.376149546919761e-009	4.261864e+000
7.583231260304646e-009	3.754307e+000
7.853664796112725e-009	3.169598e+000
8.214403049348169e-009	2.617727e+000
8.541367476774337e-009	2.230533e+000
8.804630075678039e-009	1.938047e+000
9.083353111620003e-009	1.631354e+000
9.366469445922705e-009	1.320912e+000
9.689036244325515e-009	9.694726e-001
1.001989412574148e-008	6.139439e-001
1.041989412574066e-008	1.938125e-001
1.081989412573984e-008	-2.124612e-001
1.121989412573903e-008	-6.004064e-001
1.161989412573821e-008	-9.657129e-001
1.201989412573739e-008	-1.304013e+000
1.241989412573658e-008	-1.611227e+000
1.281989412573576e-008	-1.885887e+000
1.321989412573494e-008	-2.140173e+000
1.361989412573413e-008	-2.430859e+000
1.401989412573331e-008	-2.804538e+000
1.441989412573249e-008	-3.136693e+000
1.481989412573167e-008	-3.280582e+000
1.521989412573086e-008	-3.256888e+000
1.561989412573004e-008	-3.122959e+000
1.601989412572922e-008	-2.900941e+000
1.641989412572841e-008	-2.599962e+000
1.681989412572759e-008	-2.227822e+000
1.721989412572677e-008	-1.793504e+000
1.761989412572596e-008	-1.333445e+000
1.801989412572514e-008	-9.240812e-001
1.825885148855867e-008	-6.920965e-001
1.849295269552138e-008	-3.737614e-001
1.861811350584308e-008	-1.374721e-001
1.874763478789239e-008	1.323218e-001
1.888825857264288e-008	4.063392e-001
1.916950614214387e-008	8.891538e-001
1.948368939925745e-008	1.377270e+000
1.968429959863705e-008	1.680842e+000
1.969757924404947e-008	1.699108e+000
1.972413853487430e-008	1.735641e+000
1.977725711652398e-008	1.815147e+000
1.988349427982333e-008	1.970960e+000
1.999999999999981e-008	2.134299e+000
2.000029999999963e-008	1.931936e+000
2.000069999999938e-008	1.692697e+000
2.000099999999920e-008	1.529442e+000
2.000124000000007e-008	1.585430e+000
2.000155999999954e-008	1.647786e+000
2.000219999999847e-008	1.740066e+000
2.000347999999803e-008	1.848099e+000
2.000603999999716e-008	1.936140e+000
2.001115999999371e-008	1.980496e+000
2.002363671192701e-008	2.003141e+000
2.003611342386033e-008	2.026429e+000
2.004859013579364e-008	2.050359e+000
2.006106684772695e-008	2.074933e+000
2.007354355966026e-008	2.100149e+000
2.008602027159357e-008	2.126009e+000
2.009849698352688e-008	2.152511e+000
2.011663482768080e-008	2.206041e+000
2.013921906453130e-008	2.322883e+000
2.017095302297092e-008	2.694960e+000
2.020565602319304e-008	3.665407e+000
2.024887006201283e-008	5.818458e+000
2.028888537372180e-008	8.136286e+000
2.034233321421355e-008	1.040818e+001
2.036393404334065e-008	1.046955e+001
2.038505101130866e-008	9.744667e+000
2.041420796029928e-008	8.373288e+000
2.044445046960855e-008	6.964453e+000
2.046277083274890e-008	6.272444e+000
2.047740047279963e-008	5.892897e+000
2.049427160365172e-008	5.619398e+000
2.051428323825373e-008	5.443677e+000
2.053318412304270e-008	5.378685e+000
2.055508777424623e-008	5.369154e+000
2.058073880824018e-008	5.394739e+000
2.061528730805692e-008	5.453063e+000
2.065997168972308e-008	5.543146e+000
2.072159910682586e-008	5.678319e+000
2.079777590201550e-008	5.852657e+000
2.089247928527013e-008	6.073356e+000
2.100741615287176e-008	6.341517e+000
2.115345574493598e-008	6.678359e+000
2.133401931042229e-008	7.084943e+000
2.156613445004312e-008	7.587366e+000
2.186408369022343e-008	8.192953e+000
2.226408369022262e-008	8.934908e+000
2.266408369022180e-008	9.588449e+000
2.306408369022098e-008	1.013944e+001
2.346408369022016e-008	1.058031e+001
2.386408369021935e-008	1.090526e+001
2.426408369021853e-008	1.111506e+001
2.460100000000082e-008	1.119282e+001
2.500100000000000e-008	1.119758e+001
2.500109999999994e-008	1.126946e+001
2.500129999999982e-008	1.140680e+001
2.500169999999958e-008	1.166474e+001
2.500199999999939e-008	1.184829e+001
2.500224000000026e-008	1.180090e+001
2.500255999999973e-008	1.175531e+001
2.500319999999866e-008	1.168153e+001
2.500433249588169e-008	1.158076e+001
2.500659748764775e-008	1.144638e+001
2.501112747117986e-008	1.130138e+001
2.501931077518818e-008	1.119396e+001
2.502806438565656e-008	1.116049e+001
2.504072203475873e-008	1.115127e+001
2.505971767979335e-008	1.114372e+001
2.509770896986091e-008	1.112773e+001
2.517369154999602e-008	1.108965e+001
2.529528786426324e-008	1.100509e+001
2.540793837416367e-008	1.088297e+001
2.550390613058664e-008	1.070556e+001
2.558345873187728e-008	1.044450e+001
2.565492017296114e-008	1.003690e+001
2.572590408473842e-008	9.373260e+000
2.579981241682109e-008	8.415329e+000
2.587632501755690e-008	7.428039e+000
2.596359455834476e-008	6.661438e+000
2.605876773036653e-008	6.223368e+000
2.615978808727668e-008	5.981733e+000
2.625081277148263e-008	5.843706e+000
2.634458222008733e-008	5.732931e+000
2.643102532089469e-008	5.639347e+000
2.652105442690631e-008	5.542665e+000
2.661710557424301e-008	5.437167e+000
2.671724203490683e-008	5.321031e+000
2.682255440411071e-008	5.190236e+000
2.693318925132285e-008	5.043067e+000
2.705761845880844e-008	4.860249e+000
2.720278437532905e-008	4.609759e+000
2.737487138052950e-008	4.245595e+000
2.758280127743393e-008	3.741633e+000
2.785461371201736e-008	3.152706e+000
2.821725384853962e-008	2.591921e+000
2.854549706901624e-008	2.200769e+000
2.880953687241293e-008	1.906904e+000
2.908872673665041e-008	1.599661e+000
2.937224271653226e-008	1.289009e+000
2.969460086432492e-008	9.382858e-001
3.002457217684302e-008	5.844428e-001
3.042457217684221e-008	1.654787e-001
3.082457217684139e-008	-2.393311e-001
3.122457217684057e-008	-6.254941e-001
3.162457217683976e-008	-9.887002e-001
3.202457217683894e-008	-1.324616e+000
3.242457217683812e-008	-1.629372e+000
3.282457217683731e-008	-1.902699e+000
3.322457217683649e-008	-2.162168e+000
3.362457217683567e-008	-2.472079e+000
3.402457217683485e-008	-2.855605e+000
3.442457217683404e-008	-3.165940e+000
3.482457217683322e-008	-3.282742e+000
3.522457217683240e-008	-3.245051e+000
3.562457217683159e-008	-3.103155e+000
3.602457217683077e-008	-2.874990e+000
3.642457217682995e-008	-2.568855e+000
3.682457217682914e-008	-2.192462e+000
3.722457217682832e-008	-1.756368e+000
3.762457217682750e-008	-1.322717e+000
3.793915689079347e-008	-1.072801e+000
3.811312637462327e-008	-9.525369e-001
3.834406083758712e-008	-6.781090e-001
