Index,C2,C4,VDD,RL,EFFICIENCY,POWER OUT,PAE,THD
40098,2.15e-10,2.15e-10,10,100,3.1393251211395876,0.430188,-0.6676615681008814,36.069486
40099,2.15e-10,2.2080808080808082e-10,10,100,3.0819990543047324,0.423667,-0.7135489033572179,34.755832
40100,2.15e-10,2.2661616161616163e-10,10,100,3.028750099751166,0.417492,-0.7566071545163706,33.600761
40101,2.15e-10,2.3242424242424244e-10,10,100,2.979732758745355,0.412103,-0.7931266359127127,32.523149
40102,2.15e-10,2.3823232323232323e-10,10,100,2.931722651208733,0.406627,-0.8311811909242316,31.520384
40103,2.15e-10,2.4404040404040407e-10,10,100,2.8875751128489693,0.401731,-0.8656378482504816,30.57983
40104,2.15e-10,2.4984848484848486e-10,10,100,2.8439168799145573,0.396752,-0.89861585990868,29.724816
40105,2.15e-10,2.5565656565656564e-10,10,100,2.8045761815609325,0.392478,-0.9267482242643381,28.920088
40106,2.15e-10,2.614646464646465e-10,10,100,2.765639582517009,0.388199,-0.9547465536280411,28.15472
40107,2.15e-10,2.6727272727272727e-10,10,100,2.7284340054279097,0.384038,-0.9815351606348668,27.454117
40108,2.15e-10,2.730808080808081e-10,10,100,2.6918624832637907,0.379986,-1.0076083337465735,26.786144
40109,2.15e-10,2.788888888888889e-10,10,100,2.6563449338024387,0.375995,-1.0338900428129367,26.185131
40110,2.15e-10,2.8469696969696973e-10,10,100,2.6219856707080815,0.372183,-1.0582611819904613,25.599757
40111,2.15e-10,2.905050505050505e-10,10,100,2.5894026244064174,0.368617,-1.0806358706341852,25.048213
40112,2.15e-10,2.963131313131313e-10,10,100,2.556567553176583,0.364904,-1.1038940111537705,24.535415
40113,2.15e-10,3.0212121212121214e-10,10,100,2.526649161277707,0.361801,-1.121967400868752,24.02911
40114,2.15e-10,3.0792929292929293e-10,10,100,2.4951367018756447,0.358112,-1.1455227000362314,23.590683
40115,2.15e-10,3.1373737373737376e-10,10,100,2.466826011130952,0.355033,-1.1644629419898143,23.147515
40116,2.15e-10,3.1954545454545455e-10,10,100,2.4382435887663965,0.35188,-1.183443391977383,22.72173
40117,2.15e-10,3.253535353535354e-10,10,100,2.409339102307129,0.348588,-1.20305912276579,22.323236
40118,2.15e-10,3.311616161616162e-10,10,100,2.381420199931058,0.345425,-1.222116511547742,21.952995
40119,2.15e-10,3.3696969696969696e-10,10,100,2.3551139684395093,0.342516,-1.23951593495376,21.601472
40120,2.15e-10,3.427777777777778e-10,10,100,2.3288074224937767,0.339603,-1.2559745451802475,21.254166
40121,2.15e-10,3.485858585858586e-10,10,100,2.3027745095356664,0.336638,-1.2740307001942703,20.929791
40122,2.15e-10,3.5439393939393937e-10,10,100,2.277262180974478,0.33371,-1.2907465538419542,20.62015
40123,2.15e-10,3.602020202020202e-10,10,100,2.2528128509682466,0.330972,-1.3064152741381074,20.318342
40124,2.15e-10,3.6601010101010105e-10,10,100,2.2287983706720973,0.328302,-1.3207128309572298,20.030187
40125,2.15e-10,3.7181818181818184e-10,10,100,2.2045691534742633,0.325584,-1.336402908874233,19.754374
40126,2.15e-10,3.776262626262626e-10,10,100,2.1814945898118254,0.322979,-1.3507571561727474,19.490539
40127,2.15e-10,3.8343434343434346e-10,10,100,2.158485301847883,0.320289,-1.365688137694931,19.24338
40128,2.15e-10,3.8924242424242425e-10,10,100,2.1370755249643754,0.317937,-1.3782163310300326,18.998022
40129,2.15e-10,3.9505050505050503e-10,10,100,2.115169311424415,0.315505,-1.3913034733814684,18.762707
40130,2.15e-10,4.0085858585858587e-10,10,100,2.0939574877805787,0.313166,-1.4027761990411682,18.533065
40131,2.15e-10,4.066666666666667e-10,10,100,2.0733796249974987,0.310839,-1.4151308373188187,18.320395
40132,2.15e-10,4.124747474747475e-10,10,100,2.0522690976843223,0.308415,-1.4280742613787596,18.105738
40133,2.15e-10,4.182828282828283e-10,10,100,2.032628462957801,0.306248,-1.4388846853304662,17.89776
40134,2.15e-10,4.240909090909091e-10,10,100,2.013613640125807,0.304106,-1.4499917232246318,17.70922
40135,2.15e-10,4.298989898989899e-10,10,100,1.993625734856992,0.301815,-1.461503401809895,17.523175
40136,2.15e-10,4.357070707070707e-10,10,100,1.9752325857206865,0.299785,-1.471556018237883,17.342846
40137,2.15e-10,4.4151515151515153e-10,10,100,1.9560318931461287,0.297577,-1.4823739754031011,17.163412
40138,2.15e-10,4.4732323232323237e-10,10,100,1.9376877172273592,0.295478,-1.4930618401206637,16.994952
40139,2.15e-10,4.531313131313131e-10,10,100,1.9193425976812961,0.29336,-1.5034021616811912,16.832714
40140,2.15e-10,4.5893939393939394e-10,10,100,1.901490920009922,0.291297,-1.513747274697443,16.677807
40141,2.15e-10,4.647474747474748e-10,10,100,1.8848237423656415,0.289475,-1.5217929184409629,16.51488
40142,2.15e-10,4.705555555555556e-10,10,100,1.866874573628301,0.28734,-1.5322288275996492,16.373603
40143,2.15e-10,4.763636363636364e-10,10,100,1.8496307869845119,0.2853,-1.5422601412020982,16.231767
40144,2.15e-10,4.821717171717172e-10,10,100,1.832125666373376,0.283188,-1.552947570001553,16.100526
40145,2.15e-10,4.87979797979798e-10,10,100,1.8153027828523107,0.281214,-1.5625544660551407,15.971888
40146,2.15e-10,4.937878787878788e-10,10,100,1.7998364276836487,0.279484,-1.5699786840800347,15.84204
40147,2.15e-10,4.995959595959596e-10,10,100,1.7836200194051237,0.277583,-1.5787931555172878,15.720299
40148,2.15e-10,5.054040404040404e-10,10,100,1.768870313271239,0.275942,-1.5855806767992098,15.606784
40149,2.15e-10,5.112121212121213e-10,10,100,1.752720224654415,0.274001,-1.5947520933416064,15.485069
40150,2.15e-10,5.17020202020202e-10,10,100,1.7371148825898526,0.272159,-1.6032309332175934,15.368164
40151,2.15e-10,5.228282828282829e-10,10,100,1.7236573175002385,0.270709,-1.608468370952851,15.262819
40152,2.15e-10,5.286363636363637e-10,10,100,1.7083317447608881,0.268847,-1.617147686403091,15.160939
40153,2.15e-10,5.344444444444444e-10,10,100,1.6929116380540459,0.26694,-1.6260741623911563,15.057758
40154,2.15e-10,5.402525252525253e-10,10,100,1.6791892883809816,0.265369,-1.6324588379715752,14.9557
40155,2.15e-10,5.460606060606061e-10,10,100,1.6637760612395704,0.263424,-1.6422638935381386,14.867285
40156,2.15e-10,5.518686868686868e-10,10,100,1.6498332839593326,0.261751,-1.6489634611384598,14.773461
40157,2.15e-10,5.576767676767677e-10,10,100,1.6361286183341512,0.260115,-1.6556591312224027,14.682319
40158,2.15e-10,5.634848484848485e-10,10,100,1.621112318135294,0.258167,-1.665438013726586,14.590934
40159,2.15e-10,5.692929292929294e-10,10,100,1.608242966415456,0.256719,-1.6709704498612394,14.504084
40160,2.15e-10,5.751010101010101e-10,10,100,1.5949034710413126,0.255108,-1.6772656797039112,14.424228
40161,2.15e-10,5.809090909090909e-10,10,100,1.5812223449601517,0.253364,-1.6854642926238665,14.34233
40162,2.15e-10,5.867171717171718e-10,10,100,1.5682150797456607,0.251813,-1.6918037278994598,14.261739
40163,2.15e-10,5.925252525252525e-10,10,100,1.5552689321655675,0.250207,-1.6988195950943883,14.189246
40164,2.15e-10,5.983333333333333e-10,10,100,1.5426522497037822,0.248674,-1.7053269561225566,14.108063
40165,2.15e-10,6.041414141414142e-10,10,100,1.530021421761042,0.247126,-1.7117101499523273,14.031301
40166,2.15e-10,6.09949494949495e-10,10,100,1.517697583884323,0.245609,-1.7177717357721063,13.958361
40167,2.15e-10,6.157575757575757e-10,10,100,1.5048974858750093,0.24398,-1.7246552021909163,13.89115
40168,2.15e-10,6.215656565656566e-10,10,100,1.4916470131837412,0.242239,-1.7324581119109344,13.825708
40169,2.15e-10,6.273737373737374e-10,10,100,1.4799773804328449,0.240779,-1.7380309912656509,13.758138
40170,2.15e-10,6.331818181818182e-10,10,100,1.4685025120695894,0.239385,-1.7434253709826826,13.691875
40171,2.15e-10,6.38989898989899e-10,10,100,1.456611443754668,0.23792,-1.7493051218944764,13.629508
40172,2.15e-10,6.447979797979798e-10,10,100,1.444744610758314,0.236379,-1.7559057043144495,13.570312
40173,2.15e-10,6.506060606060607e-10,10,100,1.4334539287043422,0.234956,-1.761489607038052,13.507051
40174,2.15e-10,6.564141414141414e-10,10,100,1.4217760401442074,0.233467,-1.7674169346195072,13.453495
40175,2.15e-10,6.622222222222222e-10,10,100,1.4110652473905299,0.232116,-1.7728651586351118,13.388057
40176,2.15e-10,6.680303030303031e-10,10,100,1.4000327632129792,0.230752,-1.7779442904034122,13.332891
40177,2.15e-10,6.738383838383838e-10,10,100,1.3890416268000532,0.229378,-1.7828066903242217,13.276408
40178,2.15e-10,6.796464646464647e-10,10,100,1.3779011069396836,0.22792,-1.7887806735948637,13.225717
40179,2.15e-10,6.854545454545455e-10,10,100,1.3680141467300777,0.226669,-1.7931704608550807,13.179545
40180,2.15e-10,6.912626262626262e-10,10,100,1.3571699670464061,0.225278,-1.7987842714364033,13.118762
40181,2.15e-10,6.970707070707071e-10,10,100,1.3462056686396227,0.223804,-1.8046171984023869,13.07295
40182,2.15e-10,7.028787878787879e-10,10,100,1.3363133120391941,0.222571,-1.8090372007012663,13.020444
40183,2.15e-10,7.086868686868686e-10,10,100,1.326007084504594,0.221235,-1.8136991063454868,12.978482
40184,2.15e-10,7.144949494949495e-10,10,100,1.31613551656267,0.219996,-1.8181606073477594,12.932837
40185,2.15e-10,7.203030303030303e-10,10,100,1.306210809196775,0.218725,-1.8228247237981485,12.879982
40186,2.15e-10,7.261111111111112e-10,10,100,1.2964585941692006,0.217455,-1.8270017289691762,12.851953
40187,2.15e-10,7.319191919191919e-10,10,100,1.2864234862734825,0.216114,-1.832079335222267,12.804123
40188,2.15e-10,7.377272727272727e-10,10,100,1.2763577800096273,0.214774,-1.8372684538631132,12.765792
40189,2.15e-10,7.435353535353536e-10,10,100,1.265996143005489,0.213352,-1.8434060228452755,12.719853
40190,2.15e-10,7.493434343434343e-10,10,100,1.2575998104489987,0.212308,-1.846019428977609,12.686071
40191,2.15e-10,7.551515151515151e-10,10,100,1.248264196917545,0.211064,-1.8510580414700206,12.635821
40192,2.15e-10,7.60959595959596e-10,10,100,1.239365596731146,0.209894,-1.8546198540352867,12.611023
40193,2.15e-10,7.667676767676768e-10,10,100,1.2300237563296177,0.20866,-1.8589475297543605,12.568065
40194,2.15e-10,7.725757575757575e-10,10,100,1.2207380894914375,0.207368,-1.8641969494498762,12.534857
40195,2.15e-10,7.783838383838384e-10,10,100,1.2119580867531337,0.206228,-1.8675430915427154,12.507874
40196,2.15e-10,7.841919191919192e-10,10,100,1.2030382688087498,0.205029,-1.871956156924413,12.468613
40197,2.15e-10,7.9e-10,10,100,1.1942712849476225,0.203843,-1.8761629678235807,12.442105
40198,2.2080808080808082e-10,2.15e-10,10,100,3.2487691356677937,0.446722,-0.5457546998290967,34.717665
40199,2.2080808080808082e-10,2.2080808080808082e-10,10,100,3.193751857839903,0.440511,-0.5889261866612534,33.48593
40200,2.2080808080808082e-10,2.2661616161616163e-10,10,100,3.143693361661536,0.435018,-0.6276214427148821,32.36188
40201,2.2080808080808082e-10,2.3242424242424244e-10,10,100,3.0962068891017376,0.42993,-0.6630922459796774,31.299287
40202,2.2080808080808082e-10,2.3823232323232323e-10,10,100,3.050723701214784,0.424917,-0.6980629505183654,30.333622
40203,2.2080808080808082e-10,2.4404040404040407e-10,10,100,3.0071078852430855,0.420105,-0.7307951096604249,29.433391
40204,2.2080808080808082e-10,2.4984848484848486e-10,10,100,2.9666476380762097,0.415746,-0.7590980448123303,28.609426
40205,2.2080808080808082e-10,2.5565656565656564e-10,10,100,2.928403296804887,0.411795,-0.7850889980870563,27.808975
40206,2.2080808080808082e-10,2.614646464646465e-10,10,100,2.891433189655172,0.407854,-0.8109261569872961,27.077714
40207,2.2080808080808082e-10,2.6727272727272727e-10,10,100,2.8541919977378765,0.403754,-0.8377633253216453,26.416298
40208,2.2080808080808082e-10,2.730808080808081e-10,10,100,2.818859067971019,0.399951,-0.863071241295706,25.774784
40209,2.2080808080808082e-10,2.788888888888889e-10,10,100,2.7850834357983487,0.396387,-0.88562796416652,25.163119
40210,2.2080808080808082e-10,2.8469696969696973e-10,10,100,2.7504467069812417,0.392519,-0.9105815248999723,24.610282
40211,2.2080808080808082e-10,2.905050505050505e-10,10,100,2.7197172868476924,0.38942,-0.929503296457705,24.070757
40212,2.2080808080808082e-10,2.963131313131313e-10,10,100,2.686840822013236,0.385696,-0.9529919888540581,23.57919
40213,2.2080808080808082e-10,3.0212121212121214e-10,10,100,2.6576059018853244,0.382573,-0.9731303055142615,23.118363
40214,2.2080808080808082e-10,3.0792929292929293e-10,10,100,2.628237005229075,0.379478,-0.9915295910239985,22.651765
40215,2.2080808080808082e-10,3.1373737373737376e-10,10,100,2.5999185156028815,0.376502,-1.009722883995222,22.224611
40216,2.2080808080808082e-10,3.1954545454545455e-10,10,100,2.5710291829061713,0.37337,-1.0282257509192825,21.826972
40217,2.2080808080808082e-10,3.253535353535354e-10,10,100,2.5439863769946993,0.370496,-1.0448790134307453,21.436299
40218,2.2080808080808082e-10,3.311616161616162e-10,10,100,2.5170005614361814,0.367618,-1.0618812220137759,21.075141
40219,2.2080808080808082e-10,3.3696969696969696e-10,10,100,2.4899412728762633,0.364627,-1.0803468997541654,20.728784
40220,2.2080808080808082e-10,3.427777777777778e-10,10,100,2.4651837326633577,0.362064,-1.095675797128092,20.391321
40221,2.2080808080808082e-10,3.485858585858586e-10,10,100,2.439671329621078,0.359266,-1.1109330435963607,20.077909
40222,2.2080808080808082e-10,3.5439393939393937e-10,10,100,2.414815165940964,0.356603,-1.1261300305404505,19.768598
40223,2.2080808080808082e-10,3.602020202020202e-10,10,100,2.389990410459353,0.353905,-1.141621307689191,19.488458
40224,2.2080808080808082e-10,3.6601010101010105e-10,10,100,2.366723236894564,0.35143,-1.1552516028231234,19.202815
40225,2.2080808080808082e-10,3.7181818181818184e-10,10,100,2.3442847548690393,0.349064,-1.167656145063801,18.936463
40226,2.2080808080808082e-10,3.776262626262626e-10,10,100,2.3213886303213753,0.346646,-1.1814541241704446,18.675843
40227,2.2080808080808082e-10,3.8343434343434346e-10,10,100,2.2988652378058148,0.344193,-1.193878028091876,18.42798
40228,2.2080808080808082e-10,3.8924242424242425e-10,10,100,2.276501348965793,0.341737,-1.2075342237617823,18.192556
40229,2.2080808080808082e-10,3.9505050505050503e-10,10,100,2.2552586470361566,0.339448,-1.2196406978752803,17.963134
40230,2.2080808080808082e-10,4.0085858585858587e-10,10,100,2.235171765079954,0.337426,-1.2295610815966935,17.739181
40231,2.2080808080808082e-10,4.066666666666667e-10,10,100,2.2147884298940665,0.335144,-1.2414469901732084,17.532781
40232,2.2080808080808082e-10,4.124747474747475e-10,10,100,2.1953695834074543,0.333211,-1.2512798213191547,17.323439
40233,2.2080808080808082e-10,4.182828282828283e-10,10,100,2.1751591728923145,0.331044,-1.2623248112593874,17.123598
40234,2.2080808080808082e-10,4.240909090909091e-10,10,100,2.155650515470674,0.328907,-1.2730782086656744,16.933493
40235,2.2080808080808082e-10,4.298989898989899e-10,10,100,2.1359773556290613,0.326749,-1.2837410278870922,16.74951
40236,2.2080808080808082e-10,4.357070707070707e-10,10,100,2.117674291228711,0.324775,-1.2936477921806946,16.574964
40237,2.2080808080808082e-10,4.4151515151515153e-10,10,100,2.099402350278665,0.322823,-1.3029869479543992,16.406646
40238,2.2080808080808082e-10,4.4732323232323237e-10,10,100,2.0808056564608197,0.320777,-1.312727036844837,16.242184
40239,2.2080808080808082e-10,4.531313131313131e-10,10,100,2.0632690292279627,0.318936,-1.321274696269844,16.082494
40240,2.2080808080808082e-10,4.5893939393939394e-10,10,100,2.0443071480218986,0.316655,-1.3334947319491788,15.942349
40241,2.2080808080808082e-10,4.647474747474748e-10,10,100,2.026652843334857,0.314725,-1.3428293612719184,15.792643
40242,2.2080808080808082e-10,4.705555555555556e-10,10,100,2.009890688623139,0.312944,-1.350965305519518,15.656408
40243,2.2080808080808082e-10,4.763636363636364e-10,10,100,1.9936392636150504,0.311235,-1.3583214830188195,15.517913
40244,2.2080808080808082e-10,4.821717171717172e-10,10,100,1.9769329073482427,0.30939,-1.366747603833866,15.384829
40245,2.2080808080808082e-10,4.87979797979798e-10,10,100,1.9597123769697584,0.307424,-1.376262175531644,15.256484
40246,2.2080808080808082e-10,4.937878787878788e-10,10,100,1.9442501621374162,0.30578,-1.3835217518470948,15.135343
40247,2.2080808080808082e-10,4.995959595959596e-10,10,100,1.9280548612608954,0.303927,-1.3920600885595749,15.010543
40248,2.2080808080808082e-10,5.054040404040404e-10,10,100,1.9122455050028793,0.302152,-1.3998632989260107,14.903651
40249,2.2080808080808082e-10,5.112121212121213e-10,10,100,1.8967761895140922,0.300419,-1.4077937165370245,14.783797
40250,2.2080808080808082e-10,5.17020202020202e-10,10,100,1.88115107732423,0.298676,-1.4155870330597775,14.672984
40251,2.2080808080808082e-10,5.228282828282829e-10,10,100,1.8659230164964649,0.296915,-1.4226991358994505,14.56751
40252,2.2080808080808082e-10,5.286363636363637e-10,10,100,1.8503966636355087,0.295055,-1.4318334326298958,14.478136
40253,2.2080808080808082e-10,5.344444444444444e-10,10,100,1.8355718763098137,0.293418,-1.4386459890773287,14.370969
40254,2.2080808080808082e-10,5.402525252525253e-10,10,100,1.820721035614865,0.291705,-1.4461532700013728,14.268894
40255,2.2080808080808082e-10,5.460606060606061e-10,10,100,1.8064592467118372,0.290074,-1.4533990135512156,14.175388
40256,2.2080808080808082e-10,5.518686868686868e-10,10,100,1.792189800520597,0.288487,-1.4601755617541268,14.082396
40257,2.2080808080808082e-10,5.576767676767677e-10,10,100,1.777604889902797,0.286749,-1.4677581333068836,13.994183
40258,2.2080808080808082e-10,5.634848484848485e-10,10,100,1.7638780635662943,0.285145,-1.4744336809808365,13.908486
40259,2.2080808080808082e-10,5.692929292929294e-10,10,100,1.750143471580285,0.283616,-1.4807131000351736,13.819705
40260,2.2080808080808082e-10,5.751010101010101e-10,10,100,1.7362172480679825,0.281953,-1.4878413744265526,13.737109
40261,2.2080808080808082e-10,5.809090909090909e-10,10,100,1.7222836774827925,0.28025,-1.495372418879056,13.652886
